Type,"p,d,q","P,D,Q",RMSE-Tr,RMSE-Te,AIC,
MM Jap FillF Random Walk,"0,1,0","0,0,0",0.4297,0.2474,353.0,
MM Jap FillF,"1,0,0","0,0,0",0.2626,0.2508,358.0,
MM Jap FillF,"1,1,0","0,0,0",0.4017,NAN,247.0,
MM Jap FillF,"0,0,1","0,0,0",0.2628,NAN,2523.3,
MM Jap FillF,"0,1,1","0,0,0",0.3669,NAN,82.7,
MM Jap FillF,"1,1,1","0,0,0",0.3661,NAN,80.1,
MM Jap FillF,"0,1,2","0,0,1",0.3718,0.2524,64.9,
MM Jap FillF,"1,1,2","0,0,1",0.3814,0.2526,66.0,
MM Jap FillF,"2,1,2","0,0,1",0.3866,0.2524,66.2,
MM Jap FillF,"0,1,2","1,0,1",0.3723,0.2525,66.7,
MM Jap FillF,"2,1,1","1,0,0",0.3719,0.2525,66.8,
MM Jap FillF,"1,1,2","1,0,1",0.3827,0.2526,67.6,
,,,,,,
