,stats,aic
0,"ARIMA(0, 0, 0)x(0, 0, 0, 12)",3179.741723000205
1,"ARIMA(0, 0, 0)x(0, 0, 1, 12)",2495.021502481276
2,"ARIMA(0, 0, 0)x(0, 0, 2, 12)",1921.4682640725496
3,"ARIMA(0, 0, 0)x(0, 1, 0, 12)",-248.9328382518513
4,"ARIMA(0, 0, 0)x(0, 1, 1, 12)",-478.5181188967256
5,"ARIMA(0, 0, 0)x(0, 1, 2, 12)",-466.5621402077156
6,"ARIMA(0, 0, 0)x(0, 2, 0, 12)",276.05918599316493
7,"ARIMA(0, 0, 0)x(0, 2, 1, 12)",-200.303284459032
8,"ARIMA(0, 0, 0)x(0, 2, 2, 12)",-393.5377281145038
9,"ARIMA(0, 0, 0)x(1, 0, 0, 12)",-244.5730742897015
10,"ARIMA(0, 0, 0)x(1, 0, 1, 12)",-484.73168414160114
11,"ARIMA(0, 0, 0)x(1, 0, 2, 12)",-469.26028772753693
12,"ARIMA(0, 0, 0)x(1, 1, 0, 12)",-374.9221521784175
13,"ARIMA(0, 0, 0)x(1, 1, 1, 12)",-465.86605210664027
14,"ARIMA(0, 0, 0)x(1, 1, 2, 12)",-472.3491441189501
15,"ARIMA(0, 0, 0)x(1, 2, 0, 12)",-6.6591911303127205
16,"ARIMA(0, 0, 0)x(1, 2, 1, 12)",-310.0185049123834
17,"ARIMA(0, 0, 0)x(1, 2, 2, 12)",-376.3751839041766
18,"ARIMA(0, 0, 0)x(2, 0, 0, 12)",-373.39201251103157
19,"ARIMA(0, 0, 0)x(2, 0, 1, 12)",-468.69935847520304
20,"ARIMA(0, 0, 0)x(2, 0, 2, 12)",-474.8315324510005
21,"ARIMA(0, 0, 0)x(2, 1, 0, 12)",-409.13891521963393
22,"ARIMA(0, 0, 0)x(2, 1, 1, 12)",-463.50428481874354
23,"ARIMA(0, 0, 0)x(2, 1, 2, 12)",-472.0771954773021
24,"ARIMA(0, 0, 0)x(2, 2, 0, 12)",-122.4136429176225
25,"ARIMA(0, 0, 0)x(2, 2, 1, 12)",-341.6888903383502
26,"ARIMA(0, 0, 0)x(2, 2, 2, 12)",-365.71525693146083
27,"ARIMA(0, 0, 1)x(0, 0, 0, 12)",2523.584995456553
28,"ARIMA(0, 0, 1)x(0, 0, 1, 12)",1896.411242306314
29,"ARIMA(0, 0, 1)x(0, 0, 2, 12)",1504.749866738583
30,"ARIMA(0, 0, 1)x(0, 1, 0, 12)",-246.90887816896947
31,"ARIMA(0, 0, 1)x(0, 1, 1, 12)",-482.1655428569944
32,"ARIMA(0, 0, 1)x(0, 1, 2, 12)",-469.08311296159764
33,"ARIMA(0, 0, 1)x(0, 2, 0, 12)",276.282527857114
34,"ARIMA(0, 0, 1)x(0, 2, 1, 12)",-198.57625095938673
35,"ARIMA(0, 0, 1)x(0, 2, 2, 12)",-394.73823183730866
36,"ARIMA(0, 0, 1)x(1, 0, 0, 12)",-244.08083487460755
37,"ARIMA(0, 0, 1)x(1, 0, 1, 12)",-233.3433207223759
38,"ARIMA(0, 0, 1)x(1, 0, 2, 12)",-466.9282637976095
39,"ARIMA(0, 0, 1)x(1, 1, 0, 12)",-373.62607667342246
40,"ARIMA(0, 0, 1)x(1, 1, 1, 12)",-469.8696575426337
41,"ARIMA(0, 0, 1)x(1, 1, 2, 12)",-473.3833148107923
