,stats,aic
0,"ARIMA(0, 0, 0)x(0, 0, 0, 12)",3170.805482310809
1,"ARIMA(0, 0, 0)x(0, 0, 1, 12)",2510.8868658447896
2,"ARIMA(0, 0, 0)x(0, 0, 2, 12)",1999.9285782473967
3,"ARIMA(0, 0, 0)x(0, 1, 0, 12)",377.3778725925457
4,"ARIMA(0, 0, 0)x(0, 1, 1, 12)",123.42506231697416
5,"ARIMA(0, 0, 0)x(0, 1, 2, 12)",120.95633833152064
6,"ARIMA(0, 0, 0)x(0, 2, 0, 12)",884.7358604789829
7,"ARIMA(0, 0, 0)x(0, 2, 1, 12)",399.4149638140028
8,"ARIMA(0, 0, 0)x(0, 2, 2, 12)",192.74303250801103
9,"ARIMA(0, 0, 0)x(1, 0, 0, 12)",378.5581805683701
10,"ARIMA(0, 0, 0)x(1, 0, 1, 12)",138.3324322912835
11,"ARIMA(0, 0, 0)x(1, 0, 2, 12)",129.82276423934687
12,"ARIMA(0, 0, 0)x(1, 1, 0, 12)",236.8534167273705
13,"ARIMA(0, 0, 0)x(1, 1, 1, 12)",128.54123376194872
14,"ARIMA(0, 0, 0)x(1, 1, 2, 12)",122.8312729127659
15,"ARIMA(0, 0, 0)x(1, 2, 0, 12)",589.8411322773118
16,"ARIMA(0, 0, 0)x(1, 2, 1, 12)",287.63116741498925
17,"ARIMA(0, 0, 0)x(1, 2, 2, 12)",204.14228766213682
18,"ARIMA(0, 0, 0)x(2, 0, 0, 12)",238.56439010679307
19,"ARIMA(0, 0, 0)x(2, 0, 1, 12)",131.2032419972208
20,"ARIMA(0, 0, 0)x(2, 0, 2, 12)",129.88627616604873
21,"ARIMA(0, 0, 0)x(2, 1, 0, 12)",193.71908257690234
22,"ARIMA(0, 0, 0)x(2, 1, 1, 12)",119.43924840194006
23,"ARIMA(0, 0, 0)x(2, 1, 2, 12)",120.01221110589589
24,"ARIMA(0, 0, 0)x(2, 2, 0, 12)",461.9517888726455
25,"ARIMA(0, 0, 0)x(2, 2, 1, 12)",245.83966285827387
26,"ARIMA(0, 0, 0)x(2, 2, 2, 12)",210.20863159615442
27,"ARIMA(0, 0, 1)x(0, 0, 0, 12)",2523.286166525338
28,"ARIMA(0, 0, 1)x(0, 0, 1, 12)",2008.7050504684964
29,"ARIMA(0, 0, 1)x(0, 0, 2, 12)",1660.4747385021424
30,"ARIMA(0, 0, 1)x(0, 1, 0, 12)",375.35044866588703
31,"ARIMA(0, 0, 1)x(0, 1, 1, 12)",109.41456437819357
32,"ARIMA(0, 0, 1)x(0, 1, 2, 12)",104.45369705723718
33,"ARIMA(0, 0, 1)x(0, 2, 0, 12)",878.9677514382054
34,"ARIMA(0, 0, 1)x(0, 2, 1, 12)",398.4133166103595
35,"ARIMA(0, 0, 1)x(0, 2, 2, 12)",186.4625548950473
36,"ARIMA(0, 0, 1)x(1, 0, 0, 12)",377.81758847221937
37,"ARIMA(0, 0, 1)x(1, 0, 1, 12)",384.50327436768794
38,"ARIMA(0, 0, 1)x(1, 0, 2, 12)",113.36577221295416
39,"ARIMA(0, 0, 1)x(1, 1, 0, 12)",236.6746821362102
40,"ARIMA(0, 0, 1)x(1, 1, 1, 12)",116.27747185422422
41,"ARIMA(0, 0, 1)x(1, 1, 2, 12)",105.90620711449753
42,"ARIMA(0, 0, 1)x(1, 2, 0, 12)",589.3914378318498
43,"ARIMA(0, 0, 1)x(1, 2, 1, 12)",287.27346781870176
44,"ARIMA(0, 0, 1)x(1, 2, 2, 12)",187.70799923458355
45,"ARIMA(0, 0, 1)x(2, 0, 0, 12)",238.3694562247133
46,"ARIMA(0, 0, 1)x(2, 0, 1, 12)",250.9411496016247
47,"ARIMA(0, 0, 1)x(2, 0, 2, 12)",227.0415587092786
48,"ARIMA(0, 0, 1)x(2, 1, 0, 12)",192.94494907534906
49,"ARIMA(0, 0, 1)x(2, 1, 1, 12)",109.8576815692786
50,"ARIMA(0, 0, 1)x(2, 1, 2, 12)",110.4626585378152
51,"ARIMA(0, 0, 1)x(2, 2, 0, 12)",463.1240159185212
52,"ARIMA(0, 0, 1)x(2, 2, 1, 12)",245.1905038857047
53,"ARIMA(0, 0, 1)x(2, 2, 2, 12)",201.37587376708308
54,"ARIMA(0, 0, 2)x(0, 0, 0, 12)",2038.3199254313638
55,"ARIMA(0, 0, 2)x(0, 0, 1, 12)",1682.0003112913528
56,"ARIMA(0, 0, 2)x(0, 0, 2, 12)",1361.096986675654
57,"ARIMA(0, 0, 2)x(0, 1, 0, 12)",375.5107607630057
58,"ARIMA(0, 0, 2)x(0, 1, 1, 12)",109.67919590038659
59,"ARIMA(0, 0, 2)x(0, 1, 2, 12)",102.4541505842361
60,"ARIMA(0, 0, 2)x(0, 2, 0, 12)",874.1014719991807
61,"ARIMA(0, 0, 2)x(0, 2, 1, 12)",396.41242729976614
62,"ARIMA(0, 0, 2)x(0, 2, 2, 12)",184.63578903596766
63,"ARIMA(0, 0, 2)x(1, 0, 0, 12)",377.7255086245622
64,"ARIMA(0, 0, 2)x(1, 0, 1, 12)",386.38721683877134
65,"ARIMA(0, 0, 2)x(1, 0, 2, 12)",119.16874981322059
